result,question_id,question,A,B,C,D,answer,correct,model_name
A,2375,"The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?",the rotation of Earth on its axis,the revolution of the Sun around Earth,the Earth’s distance from the Sun,the properties of Earth’s atmosphere,A,True,Y
C,2376,What causes a blue block to appear blue in the sunlight?,The block absorbs all blue light.,The block bends (refracts) all blue light.,Only blue light is reflected by the block.,Only blue light passes through the block.,C,True,Y
A,2378,"Which method below would be the best way to determine if an egg, plastic foam, a piece of wood, or a candle would float on water?",observing each object in water,measuring the size of each object,calculating the weight of the objects,comparing the shapes of the objects,A,True,Y
A,2379,Liam lives in the Northern Hemisphere of Earth and plays in the snow in December. His friend lives in the Southern Hemisphere of Earth and plays at the beach in December. What is the best explanation for why this is possible?,tilt of Earth on its axis,rotation of Earth on its axis,revolution of Earth around the Sun,revolution of the Moon around Earth,A,True,Y
D,2380,A scientist needs to take a picture of the well-ordered arrangements of the atoms and molecules within a substance. Which of the following instruments would be best for the scientist to use?,a laser light with holograph.,a seismograph.,an electron microscope.,a stereoscope.,C,False,Y
D,2381,Gold atoms can be identified based on the number of which subatomic particles?,neutrons,electrons,nuclei,protons,D,True,Y
C,2382,Which is needed for both boiling and melting to occur?,solids,gases,heat,pressure,C,True,Y
D,2383,Which of the following is an example of genetic engineering?,Growing a whole plant from a single cell.,Finding the sequences of bases in plant DNA.,Inserting a gene into plants that makes them resistant to insects.,Attaching the root of one type of plant to the stem of another type of plant.,C,False,Y
C,2384,Which of the following is an example of a container that is filled with a pure substance rather than with a mixture?,a tire filled with air,a jar filled with salt water,a balloon filled with helium,a glass filled with chocolate milk,C,True,Y
D,2386,Which change is most likely caused by a thunderstorm?,a glacier moving,a stream flooding,a volcano erupting,a mountain forming,B,False,Y
D,2387,Which is an example of an organism that has been selectively bred for a particular genetic trait?,cats that eat mice,cows that graze on grass,pigs that form large herds,chickens that lay large eggs,D,True,Y
B,2388,"Which of these can be described as a system of stars, gases, dust, and other matter that orbits a common center of gravity?",an asteroid,a galaxy,a nebula,a comet,B,True,Y
C,2389,"The Florida Bog Frog (Lithobates okaloosae) inhabits shallow stream overflows in three counties in Florida. With such a small geographic habitat, any change in the frog's environment could cause drastic changes in the population. Which would most likely affect the frog population if acid rain changed the pH of the water?",Prey insects would become inedible.,Tadpoles would be unable to survive.,Breeding sites would become unavailable.,Predators would choose another food source.,B,False,Y
D,2390,Which function do kidneys provide to maintain homeostasis?,the removal of excess heat from the body,the removal of carbon dioxide from the body,the removal of excess oxygen from the blood,the removal of nitrogenous wastes from the blood,D,True,Y
A,2391,"While running, leg muscles work to move leg bones, and the skin helps to",regulate body temperature.,sense small changes in the heart rate.,transport nutrients to muscles.,maintain oxygen levels in the blood.,A,True,Y
D,2392,"Rolanda is growing tomato plants in her garden. She has created a compost pile and has been adding compost around her tomato plants to help fertilize them. Compost is solid waste in which organic material is broken down by microorganisms in the presence of oxygen to where it can be safely stored, handled, and applied to the environment. On what does Rolanda primarily rely in order for composting to work?",producers,consumers,scavengers,decomposers,D,True,Y
A,2394,A scientist uses angstrom units to measure the distance between two points. The scientist is most likely measuring the distance between two,atoms.,cities.,continents.,stars.,A,True,Y
A,2395,"Based on the evidence available at the time, early models of the solar system stated that all objects in space orbited Earth. In the 16th century, an astronomer reevaluated the evidence and proposed a model of the solar system that is still in use. What part of this model corrected the mistake in previous solar system models?",The Sun is at the center of this model.,Earth is the largest object in this model.,This model contains more than one star.,This model shows that Earth is stationary.,A,True,Y
C,2396,The hormone insulin is secreted by the pancreas. Which activity is most likely to trigger an increase in the levels of insulin circulating in the blood?,driving,eating,jogging,sleeping,B,False,Y
C,2397,"In gym class a student kicks a soccer ball high into the air. As the ball goes upward, which type of energy is increasing?",kinetic energy,thermal energy,potential energy,mechanical energy,C,True,Y
C,2398,Which best describes the orbit of the Moon around Earth?,circular with a period of about one month,circular with a period of about one week,elliptical with a period of about one month,elliptical with a period of about one week,C,True,Y
A,2399,"In any physical or chemical process, what two quantities are always conserved?",matter and total energy,light and acoustic energy,density and thermal energy,gravity and potential energy,A,True,Y
C,2401,The complete removal of decomposers from an ecosystem will have the greatest effect on which of the following?,the spread of disease,the availability of water,the recycling of nutrients,the distribution of organisms,C,True,Y
D,2402,"In an accurate diagram of the solar system, which object would be shown closest to Earth?",the Moon,the asteroid belt,Mars,Saturn,A,False,Y
D,2403,"Typically, sedimentary rocks are formed",only in erupting volcanoes.,only under great pressure and high temperatures.,below Earth's surface as magma cools and crystallizes.,from materials that settle.,D,True,Y
D,2404,Which renewable resource is used with photovoltaic cells to produce electricity?,hydrothermal energy,solar energy,geothermal energy,nuclear energy,B,False,Y
D,2405,Which will most likely happen to a solid substance that is heated?,It will melt.,It will boil.,It will harden.,It will evaporate.,A,False,Y
C,2406,A scientist observes an unusual activity while studying bacterial cells. Using scientific inquiry to investigate the activity will enable the scientist to,control the behavior.,prove that the behavior is beneficial.,evaluate different explanations of the behavior.,conclude how the behavior will change in the future.,C,True,Y
C,2407,"In order to survive, all organisms must have",chlorophyll,carbon dioxide,energy,blood,C,True,Y
B,2408,Which observation of a plant supports the inference that photosynthesis can take place?,"a strong, sweet smell","a dry, rough texture",a green color,a smooth stem,C,False,Y
D,2409,"To safely conduct an experiment using chemicals, what should students always do?",Work in large groups.,Wear safety goggles.,Wear short sleeves.,Keep a window open.,B,False,Y
B,2410,Infections may be caused by,mutations,microorganisms,toxic substances,climate changes,B,True,Y
D,2411,Which are two parts of the carbon cycle?,freezing and thawing,growth and reproduction,evaporation and precipitation,photosynthesis and respiration,D,True,Y
A,2412,The digestive system breaks food into simple substances that the body can use. What system carries these simple substances from the digestive system to other parts of the body?,circulatory,nervous,respiratory,skeletal,A,True,Y
A,2414,Which of these environmental changes goes on for months or years?,drought,flood,avalanche,landslide,A,True,Y
A,2415,Erin placed her shamrock plant in a dark corner. Soon she saw that the leaves had tilted toward her window. What did the plant need most from the window?,sunlight during the day,air during the day,darkness at night,warmth at night,A,True,Y
C,2416,Which gravitational pull has the greatest influence on Earth's tides?,the gravitational pull between Earth and the Moon,the gravitational pull between Earth and the Sun,the gravitational pull between Earth and Jupiter,the gravitational pull between Earth and Mars,A,False,Y
D,2417,One key physical process in beach formation is wave action. Sand is deposited on beaches as waves break onto the shoreline and the energy from the wave scatters. Which type of energy is most used by wave action to modify the shape of the beaches?,thermal,potential,chemical,mechanical,D,True,Y
D,2418,A student is asked to bring something that feels rough to class. Which would be BEST for him to bring?,Pillow,Marble,Sandpaper,Trading card,C,False,Y
D,2419,What tool would be used to examine a fingerprint?,a graduated cylinder,a hand lens,a pair of goggles,a thermometer,B,False,Y
A,2420,Which of the following is a mineral?,diamond,plastic,steel,wood,A,True,Y
D,2421,"During a rainstorm, leaves wash down a gully on a hillside. The water slows down at the foot of the hill and fans out, depositing the leaves. What geologic structure is formed in a similar way?",a basalt column,a stalactite,a fault line,a delta,D,True,Y
D,2422,The change in fur color of the Arctic hare from brown in the summer to white in the winter is an example of,mimicry.,heredity.,diversity.,camouflage.,D,True,Y
C,2424,The surface of Earth is covered by a relatively thin layer of water called the,crust,mantle,hydrosphere,atmosphere,C,True,Y
D,2425,All organisms contain DNA and RNA. What are the subunits of DNA and RNA?,simple sugars,amino acids,carbohydrates,nucleotides,D,True,Y
D,2426,How does ice change the shape of rocks?,It dissolves the rocks by pooling on surfaces.,It breaks the rocks by expanding in openings.,It smooths the rocks by colliding with them.,It moves the rocks by pressing on them.,B,False,Y
B,2427,Which property of Earth's interior keeps the innermost part in a solid state?,relatively low temperature,extremely high pressure,high rate of heat flow,low rate of radioactive decay,B,True,Y
C,2429,The transfer of thermal energy from one object to another is known as,heat.,electricity.,magnetism.,temperature.,A,False,Y
D,2430,Which part of the body carries out the function of copying DNA?,brain,heart,bones,cells,D,True,Y
B,2432,Different species of carnivorous animals that share the same habitat in an ecosystem may,become decomposers,compete for food,produce their own food,mate with each other,B,True,Y
C,2433,Which scientist is best known for studying plants and animals?,Isaac Newton,Albert Einstein,Charles Darwin,Nicolaus Copernicus,C,True,Y
C,2434,Green plants get the energy they need to make food from,air,sunlight,water,soil,B,False,Y
C,2435,The movement of soil by wind or water is called,condensation,evaporation,erosion,friction,C,True,Y
C,2436,Arctic areas are covered with snow and ice for much of the year. Which color rabbits would be safest from foxes there?,grey,black,white,brown,C,True,Y
D,2437,The ratio of an object's mass to its volume is its,area.,perimeter.,density.,weight.,C,False,Y
C,2438,"As the hawk population increases in an ecosystem, the deer mouse population will most likely decrease as a result of",decrease in food source.,increase in disease.,increase in predators.,decrease in habitat.,C,True,Y
C,2441,Which is an example of a chemical reaction?,The melting of ice,The grinding of salt crystals to powder,The burning of wood,The evaporation of water from a puddle,C,True,Y
B,2442,A baby kit fox grows to become an adult with a mass of over 3.5 kg. What factor will have the greatest influence on this kit fox's survival?,the size of the fox's ears,the conditions of the fox's habitat,the average number of fox offspring,the social behaviors within the fox population,B,True,Y
A,2443,"Hydrochloric acid is added to a beaker containing a piece of zinc. As a result, zinc chloride is formed and hydrogen gas is released. This is an example of",a chemical reaction,a physical change,photosynthesis,evaporation,A,True,Y
D,2444,Which part of a plant produces the seeds?,flower,leaves,stem,roots,A,False,Y
A,2445,Which of the following is found in all living organisms?,cell,organ,organ system,tissue,A,True,Y
B,2446,What is the role of decomposers in a food chain?,They consume other organisms.,They break down dead organic matter.,They use the Sun's energy to make food.,They convert inorganic matter into organic matter.,B,True,Y
D,2447,Copernicus changed the way people viewed the solar system by,claiming Earth is in orbit about the Sun.,"inventing, then improving, the telescope.",writing the theory of the infinite universe.,showing planetary orbits are elliptical.,A,False,Y
B,2448,Which part of the electromagnetic spectrum can humans sense without using equipment or technology?,radio waves,visible light,microwaves,X-rays,B,True,Y
D,2449,"The nervous system is composed of cells, tissues, and organs. Which is a cell of the nervous system?",brain,spinal cord,ganglion,neuron,D,True,Y
C,2450,A shallow container of salt water is placed in sunlight for a day. Which is the most likely result?,All of the mixture will evaporate.,The salt will keep the water from evaporating.,The salt will separate from the water and float at the top of the container.,Only the water will evaporate and the salt will remain in the container.,D,False,Y
B,2452,"Mrs. Henderson's class has five small, covered boxes. One contains perfume; another contains dried onions. There is also a box of pine needles, a box of lemon pieces, and a box with a paper towel wet with vanilla flavoring. Which should they do to get the best information about what is in each box?",Shake the boxes.,Smell the boxes.,Listen to the boxes.,Weigh the boxes.,B,True,Y
D,2453,Which features are physical properties of an iron nail?,"conducts heat, magnetic, solid","conducts electricity, magnetic, rusts","conducts sound, insulates, non-magnetic","dissolves, conducts heat, non-magnetic",A,False,Y
A,2454,Which item would a magnet attract?,iron nail,wool cloth,wooden stick,glass marble,A,True,Y
D,2455,Which human activity is most harmful to the natural environment?,swimming in a lake,riding a bicycle,cutting down a rain forest,using solar energy,C,False,Y
D,2456,"The process of digestion breaks down proteins into smaller molecules that are used to rebuild other proteins. During digestion, proteins undergo",cell division.,nuclear reactions.,natural selection.,chemical changes.,D,True,Y
A,2457,"Blood is composed of different cell types that transport nutrients and wastes throughout the body. Because of this, blood is classified as",a tissue.,an organ.,a system.,an organism.,A,True,Y
A,2458,What should a student do when a glass beaker shatters during a laboratory experiment?,Notify the teacher.,Sweep the pieces into a pile.,Pick up the pieces and throw them away.,Leave it until the experiment is complete.,A,True,Y
D,2459,An astronomical unit (AU) refers to the distance between,Earth and the Sun.,the Moon and the Sun.,Earth and the Moon.,the Sun and the nearest star.,A,False,Y
B,2460,An organ pipe produces a musical note same number of nitrogen gas molecules. with a wavelength of 2.72 m. What is the frequency of this note if the speed of sound is 348 m/s?,85.7 Hz,128 Hz,260 Hz,466 Hz,B,True,Y
B,2461,Which of the following allows the planets to stay in orbit?,the Moon's gravity,the Sun's gravity,magnetism,rotation,B,True,Y
C,2464,Which of these statements about nonrenewable resources is true?,They are inexpensive.,They help keep the air clean.,They can take millions of years to form.,They are used because they are easily removed from the ground.,C,True,Y
D,2465,Which statement best identifies a living thing that depends on another living thing to survive?,A wolf drinks water.,A moose eats a plant.,A spruce tree grows in soil.,A salmonberry plant absorbs sunlight.,B,False,Y
A,2466,A student is playing with a small toy boat on a pond. The student throws a rock in the pond. This creates waves that move the boat toward the shore. The boat moves toward the shore because the waves transfer,energy.,heat.,motion.,water.,A,True,Y
B,2467,"A geologist finds a layer of shale near the surface from a certain time period. Nearby, the geologist finds the same layer of shale, but it is deeper underground than the first layer. What might have caused the difference in the depth of the shale layer?",a meteorite,a fault,ancient fossils,animal life,B,True,Y
B,2468,The pull of gravity on Earth is caused by,air pressure.,the mass of Earth.,volcanoes erupting.,Earth's orbit around the Sun.,B,True,Y
C,2469,In which type of rock are fossils generally found?,igneous,metamorphic,sedimentary,volcanic,C,True,Y
A,2470,Structural geologists study rock formations to determine the type of environment in which the rocks formed and the events that shaped the rocks. Paleontologists study fossils found in rock formations. Scientists in both these fields have a common interest in discovering the,history and processes of Earth.,elements that make up the crust.,types of minerals that make up sediments.,relationships between Earth and other planets.,A,True,Y
C,2471,A simple machine that helps move a flag up a flagpole is,a bar magnet,an inclined plane,a pulley,a lever,C,True,Y
C,2473,An example of a renewable resource is,oil.,coal.,wood.,natural gas.,C,True,Y
A,2474,Minerals are formed by which process?,magma cooling,fault lines moving,metamorphosis,sedimentation,A,True,Y
B,2475,"Which of these best defines the term ""pollutant""?",anything humans add to the atmosphere and oceans,any substance that is harmful to the environment,any substance that is a waste product of industry,a substance that does not break down over time,B,True,Y
C,2476,The periodic table of the elements is systematically organized according to the,rate at which the elements chemically react.,hardness of the elements.,structure of the atoms of the elements.,radioactivity of the atoms of the elements.,C,True,Y
D,2477,Which human body system produces the hormones that regulate growth?,skeletal,digestive,circulatory,endocrine,D,True,Y
A,2478,Repeated exposure to extremely loud sounds can reduce hearing ability by direct damage to which structures?,the sensory neurons in the ears,interneurons between the ears and the brain,the sound-processing center in the brain,motor neurons applying commands from the brain to the ears,A,True,Y
B,2479,What does a mirror do to light that causes objects to appear backwards?,refracts,reflects,absorbs,blocks,B,True,Y
A,2480,The formation of the mineral halite is most likely to occur by which process?,the evaporation of seawater,the hardening of lava in seawater,the cementing together of sediment particles,the slow crystallization of magma deep in the crust,A,True,Y
C,2481,A student wants to design an experiment regarding the behavior of crickets. Which is the best question to ask to begin the experiment?,Do crickets have 6 legs or 8 legs?,How long are the antennae of a cricket?,Do crickets chirp more during the day or at night?,What is the most common cricket species?,C,True,Y
D,2482,Decomposers are organisms that eat and break down dead plant and animal material. Which organism is a decomposer?,algae,moss,bacteria,fish,C,False,Y
A,2484,New vaccines for diseases are being developed all the time. How do vaccines most likely help people?,Vaccines help prevent illnesses.,Vaccines keep the environment cleaner.,Vaccines help cure people who are sick.,Vaccines kill bacteria that cause infections.,A,True,Y
C,2488,Which is a source of sound?,thermal energy,potential energy,a vibration,a medium,C,True,Y
D,2489,Which natural material is best for making a table?,cotton that is lightweight,leather that can twist,paper that can tear,wood that is sturdy,D,True,Y
A,2490,A class is studying textures and collects several samples. Which of these items would the students most likely use magnification to study?,hair,cheese,plastic spoon,aluminum foil,A,True,Y
C,2492,What type of precipitation occurs when raindrops freeze as they fall?,hail,frost,sleet,snow,C,True,Y
C,2493,"In the atomic model that includes a nucleus, the positive charge is",spread evenly throughout the model.,located at multiple sites in the model.,concentrated in the center of the model.,positioned outside the center of the model.,C,True,Y
D,2494,"A student used two long wires to connect a lightbulb to a battery. The student noticed that as soon as the circuit was complete, a nearby compass started to point in a direction other than north. The compass pointed in a different direction because it was reacting to the",heat produced by the lightbulb.,light produced by the lightbulb.,electric field produced by the battery.,magnetic field produced by the electric current.,D,True,Y
D,2495,The production of sweat is typically a response to an increase in the body's,blood circulation.,temperature.,respiration.,heart rate.,B,False,Y
D,2496,Which of the following converts electrical energy into motion?,light switch,electric stove,light bulb,electric fan,D,True,Y
A,2497,What happens at the boiling point of a substance?,liquid becomes a gas,solid becomes a gas,liquid becomes a solid,solid becomes a liquid,A,True,Y
D,2499,"In an investigation, a student wants to see how a ball is affected by rolling it over a surface covered with sandpaper. In preparation for the trial, the student makes a list of the possible conditions that could affect the investigation. The student is most likely listing the",constants.,variables.,controls.,trials.,B,False,Y
B,2500,"If two organisms are classified in different orders but are in the same class, which of these statements is true?",The organisms have the same genus.,The organisms are in the same phylum.,The organisms are in different kingdoms.,The organisms are members of the same species.,B,True,Y
B,2501,Why do mountain climbers at high elevations use oxygen tanks to help them breathe?,At high elevations the ozone layer draws oxygen out of the atmosphere.,The atmosphere is less dense at higher elevations so there is less oxygen available.,Oxygen is heavier than the other gases in the atmosphere and sinks to lower elevations.,Radiation from the Sun splits oxygen molecules into atoms making the oxygen unbreathable.,B,True,Y
A,2502,"The students were told that the net applied force from the engine was the same for each vehicle tested. Based on this information, which vehicle had the greatest acceleration (a = F/m)?",vehicle 1,vehicle 2,vehicle 3,vehicle 4,A,True,Y
C,2503,Which metric unit is used to describe an object's length?,gram (g),milliliter (mL),centimeter (cm),degree Celsius (°C),C,True,Y
C,2505,"The work of which scientist serves as the basis for many procedures used in agriculture, such as selective breeding of plants?",Darwin,Mendel,Einstein,Pasteur,B,False,Y
C,2506,A student is investigating which type of soil is best for growing tomato plants from seeds. The student plants four tomato seeds in each of three different containers of soil. Which step of the procedure would help the student get the most reliable results?,Place one container in a dark room.,Use different types of tomato seeds.,Change only the soil type in each container.,Water each container with a different amount of water.,C,True,Y
C,2507,"In many caves, rock formations include stalactites and stalagmites. Where does the rock in these formations come from?",magma,rainwater,dissolved minerals,decaying organic matter,C,True,Y
D,2508,"A person named Leonardo da Vinci studied many things including animals, geology, clouds, and flight. His study of birds helped him design the first parachute. Everything he saw made him ask how and why. Which human quality most likely made this person want to study many different things?",duty,wisdom,kindness,curiosity,D,True,Y
D,2509,What is the main reason we can see the Moon?,The Moon reflects light from the Earth.,The Moon reflects the light from the Sun.,The Moon produces its own light.,The Moon is larger than stars.,B,False,Y
B,2510,Which of these events have the most influence on regional climate?,frequent tornadoes,ocean trade winds,winter snowstorms,temperature inversions,B,True,Y
D,2511,"If a scientist wants the medical community to revise old information and use new research findings in the treatment of a disease, it would be best to present the information",at a school science fair.,in a newspaper article.,at a physicians' conference.,in a television commercial.,C,False,Y
B,2512,"David planted ten corn seeds in sandy soil and ten corn seeds in clay soil. He kept both groups of plants at room temperature, gave them the same amount of water, and placed them all in the same sunny room. Which of the following questions is David most able to answer with his experiment?",How much soil and water do corn seeds need to grow?,Do corn plants grow better in sandy soil or in clay soil?,Do corn plants grown in sandy soil need more water than corn plants grown in clay soil?,"What are the effects of soil, temperature, water, and sunshine on the growth of corn plants?",B,True,Y
D,2513,Which geologic feature most likely forms when an oceanic tectonic plate is slowly subducted beneath a continental tectonic plate?,ocean trench,mid-ocean ridge,continental hot spot,continental rift valley,A,False,Y
C,2514,A glacier retreats leaving bare rocks. Lichens begin to live on the rocks. The lichens produce an acid that starts to break down the rocks. How will this process affect the environment?,It will put acid into the lakes and ponds.,It will begin the process of building soil.,It will prevent the carbon cycle from occurring.,It will prevent bacteria from invading the ecosystem.,B,False,Y
D,2515,"During protein synthesis, mRNA is translated into three-base sequences representing amino acids. What signals the ribosome to begin translating the mRNA into a new amino acid sequence?",a codon,enzymes,a mutation,temperature,A,False,Y
B,2516,"Phobos is one of two large objects that orbit the planet Mars. Because Phobos orbits Mars, Phobos should be classified as which type of body?",asteroid,moon,comet,meteor,B,True,Y
D,2517,Water at 20°C in an uncovered pan is evaporating very slowly. What could be done to the water to make it evaporate more quickly?,Cover it.,Heat it.,Place it in the dark.,Put salt in it.,B,False,Y
B,2518,Which rapid changes are caused by heat from inside Earth?,landslides,volcanoes,avalanches,floods,B,True,Y
A,2519,Which tool is most responsible for preventing future pandemics of smallpox?,worldwide vaccination for smallpox,global education about smallpox,better worldwide urban sanitation,improved global quarantine facilities,A,True,Y
D,2520,After which event will ecological succession most likely happen?,a forest fire,a thunderstorm,a high tide,a lunar eclipse,A,False,Y
A,2521,Sir Isaac Newton determined that white light is made up of all the colors of the rainbow. What did he use to discover this phenomenon?,a prism,a telescope,a microscope,a magnifying glass,A,True,Y
A,2522,Which characteristic is most common among animals living in a cold climate?,layers of fat,thick bones,slow digestion,large lungs,A,True,Y
A,2523,Species are classified based on their characteristics. Which characteristic identifies two organisms as members of one species? The organisms,can produce fertile offspring.,can communicate easily.,will defend their territory.,will move from place to place.,A,True,Y
C,2524,"A student hypothesizes that the amount of water a plant receives will affect how long it grows before reaching maturity. To test this hypothesis, the student will need",several digital scales.,a wet paper towel.,several identical plant seeds.,different sizes of containers.,C,True,Y
D,2525,One example of matter is,sound,light,heat,water,D,True,Y
C,2526,"If a classroom experiment involves the use of several unidentified chemical solutions, which factor would be most important in maintaining safety during the experiment?",The classroom would be fairly cold.,The classroom would have poor lighting.,The classroom would have good ventilation.,The classroom would have carpet on the floors.,C,True,Y
A,2527,Vein deposits of gold and silver are often formed in areas that have experienced which geologic process?,igneous intrusion,transport by water,chemical weathering,compaction by pressure,A,True,Y
C,2528,Cells that conduct messages are known as,skin cells,nerve cells,blood cells,kidney cells,B,False,Y
B,2529,The boiling of water results in a physical change in matter from,solid to liquid.,gas to solid.,solid to gas.,liquid to gas.,D,False,Y
B,2530,"What do playing a guitar, banging a drum, and dropping a pebble in the water have in common?",They all produce light.,They all cause vibrations.,They all convert heat to energy.,They all need gravity to move.,B,True,Y
A,2531,"At room temperature, what state of matter is copper?",gas,solid,liquid,plasma,B,False,Y
C,2532,All of the following events occur during prophase in mitosis except,pairing of chromosomes.,spindle formation.,crossing over.,condensation of DNA.,C,True,Y
A,2533,A seed of a plant sticks to the fur of an animal as it walks by. How has the animal most likely helped the plant?,by spreading the seed,by sprouting the plant,by scattering the pollen,by fertilizing the ground,A,True,Y
A,2534,Which part of a plant is used to absorb sunlight during photosynthesis?,leaf,root,seed,flower,A,True,Y
D,2538,Which mineral has six-sided transparent crystals that will scratch glass?,sulfur,quartz,calcite,feldspar,B,False,Y
D,2540,The difference between the atomic number of an element and the element's atomic mass is the number of,ions.,protons.,electrons.,neutrons.,D,True,Y
C,2541,Which step will most likely ensure that the results of an investigation are valid?,using a computer to graph results,verifying that results match the original hypothesis,comparing the results with those of other scientists,eliminating any results that appear to be abnormal,C,True,Y
D,2542,What is formed when a sodium atom and chlorine atom react chemically?,an element,a compound,an electron,a neutron,B,False,Y
C,2543,Which of these is an example of an endothermic process?,fireworks display,glowing light stick,first-aid instant cold pack,gasoline-burning car engine,C,True,Y
C,2544,"The distance from Earth to the Sun is about 150,000,000 km. What abbreviation do scientists use to describe this distance?",meters per second (m/s),light-year (ly),astronomical unit (AU),electromagnetic unit (EMU),C,True,Y
D,2545,"In New York State, the longest period of daylight occurs during which month?",June,March,December,September,A,False,Y
A,2546,Which trait does a puppy inherit from its parents?,fur color and pattern,obedience to commands,food brand preferences,affection for a specific home,A,True,Y
B,2547,Which material is most easily recycled at school?,plastic wrap,notebook paper,ice cream sticks,rubber erasers,B,True,Y
B,2548,Plants make sugars in the presence of sunlight in a process called photosynthesis. What form of carbon do the plants take in for this process?,glucose molecule,carbon dioxide,single carbon atoms,complex organic compounds,B,True,Y
C,2549,"The sun is a star of average size and brightness. From Earth, the sun appears as a round, yellow object in the daytime sky. At night, we see other stars. They appear as tiny points of light. Why does the sun appear larger than stars that we see at night?","Daylight brightens the sun, making it appear larger.","Starlight bends as it passes planets, making the stars appear smaller.","The sun is closer to Earth than other stars, making the sun appear larger.","Earth's atmosphere filters out light from other stars, making them appear smaller.",C,True,Y
A,2550,"A drain cleaner consists of sodium hydroxide and aluminum. When the drain cleaner is added to water, bubbles of hydrogen are produced, and the solution becomes very hot. Which of these best describes what happens to form the bubbles when the cleaner is added to water? F",chemical reaction,Condensation,A physical change,Evaporation,A,True,Y
C,2552,"Within a substance, atoms that collide frequently and move independently of one another are most likely in a",liquid.,solid.,gas.,crystal.,C,True,Y
B,2553,Which object best reflects light?,gray door,white floor,black sweater,brown carpet,B,True,Y
A,2554,The gravitational attraction of the Moon causes which effect on Earth?,ocean tides,time of day,energy from the Sun,phases of the Moon,A,True,Y
D,2555,"A forest was cleared for the building of a resort, but before construction began, secondary succession set in. Which of these describes why secondary succession appeared so rapidly?",The clearing allowed mosses to grow quickly.,Rock weathering occurred for lichens to grow.,Exposed substrates allowed microbes to grow.,The soil components remained for plants to grow.,D,True,Y
D,2556,Which object is made to reflect light?,telescope,window,mirror,eyeglasses,C,False,Y
D,2557,A car may produce many forms of energy from the fuel it uses. Which indicates that a car does not use fuel with 100% efficiency?,The car changes speed.,The car engine gets hot.,The car stops quickly.,The car slides on slippery streets.,B,False,Y
D,2558,"After nitrogen becomes part of the lithosphere, what is the next change that nitrogen will undergo?",used as a nutrient by plants,fixed by bacteria in the soil,converted into oxygen,absorbed into the atmosphere by lightning,B,False,Y
D,2559,Which of the following would be more likely to pollute a river?,allowing beavers to build a dam,spreading fertilizer near the river,mowing the grass on the river bank,fishing from a bridge over the river,B,False,Y
C,2560,"For two organisms to be classified as the same species, they must produce offspring that are",fertile.,adaptable.,alive at birth.,identical to the parents.,A,False,Y
D,2561,Which sentence best describes the organization of the heart?,"The heart is an organ made up of different types of tissues, each of which has different types of cells.","The heart is a tissue made up of different types of organs, each of which has different types of cells.",The heart is a system made up of one type of tissue and identical cells.,The heart is a tissue made up of one type of organ and identical cells.,A,False,Y
C,2562,Which stage in the reptile life cycle is most like the birth of a lion cub?,hatching from an egg,shedding the skin,hunting for food,finding a mate,A,False,Y
C,2563,What would be the best way to determine the role of squirrels in a forest ecosystem?,measure the length and mass of several squirrels,determine the genes that control squirrel traits,make field observations of squirrels in their natural habitat,read articles about the energy and nutrient requirements of squirrels,C,True,Y
D,2565,Barry collected four different rocks. The rock with the GREATEST mass will feel the ___.,heaviest,smoothest,sharpest,hardest,A,False,Y
C,2566,Which of the following is not an inherited trait of humans?,eye color,hair color,favorite food,height,C,True,Y
D,2568,Which of these renewable resources results in an increase in pollution when used to produce energy?,water,wind,biomass,geothermal,C,False,Y
A,2569,"Granite is an igneous rock. Which of these describes what usually happens to granite after it is weathered, broken into small particles, buried deep underground, and compacted?",The granite becomes a new rock type.,The granite forms an active volcano.,The granite becomes part of a deep fault.,The granite forms a tall mountain.,A,True,Y
A,2570,The features below are all present on Earth. Which feature could also be found on the Moon?,crater,clouds,electrical storms,nitrogen based atmosphere,A,True,Y
C,2571,What is the highest temperature that water can reach in a pot on a stove?,50°C,90°C,100°C,212°C,C,True,Y
D,2572,"In 2004 the Hubble space telescope captured images of distant star clusters, each containing about a million stars. These star clusters were most likely part of which structure?",a black hole,a galaxy,a nebula,a solar system,B,False,Y
B,2573,Where is most of the mass of the atom located?,in the protons,in the nucleus,in the neutrons,in the electrons,B,True,Y
C,2574,Which situation is the best example of ecological succession?,An organism survives a difficult winter.,The populations in an area remain the same.,One species replaces another species in an ecosystem.,Each of several species uses the same amount of resources.,C,True,Y
D,2575,The BEST way to tell the DIFFERENCE between an oak and a maple tree is to compare the,height of both trees.,number of leaves on the trees.,size of the root systems of the trees.,shape of the leaves.,D,True,Y
C,2576,Which example describes a learned behavior in a dog?,smelling the air for odors,barking when disturbed,sitting on command,digging in soil,C,True,Y
C,2577,"In a lab investigation, a student notes that two metal blocks have the same mass. Based on this observation, if the two blocks were put on opposite sides of a balance, they would best represent",balanced forces.,unbalanced forces.,equal and opposite reactions.,objects in motion.,A,False,Y
C,2579,Solar radiation has a part in the water cycle by,affecting ocean tides.,helping in the absorption of groundwater.,determining the type of clouds formed.,changing water to a vapor.,D,False,Y
B,2580,"A student sets a block at the top of a wooden ramp. The student pushes the block. As the block slides down the ramp, it slows down and then comes to a stop. What force causes the block to slow down?",the force of gravity,the force of friction,the force of magnetism,the force of the student's push,B,True,Y
